,id_str
0,1317363681865342976
1,1317363691893985281
2,1317363697107566594
3,1317363699422822400
4,1317363706485821440
5,1317363712676622336
6,1317363718443978752
7,1317363721589633024
8,1317363721656848384
9,1317363731031097344
10,1317363735774793728
11,1317363736349462529
12,1317363737683165186
13,1317363738169794560
14,1317363744549339136
15,1317363745396502528
16,1317363757333377024
17,1317363761339158528
18,1317363765352910849
19,1317363771132858368
20,1317363791345090561
21,1317363795946311685
22,1317363796785172483
23,1317363801579290625
24,1317363824752689152
25,1317363827621711877
26,1317363827856596992
27,1317363832637988864
28,1317363833757782019
29,1317363836425506821
30,1317363837314732032
31,1317363849524248576
32,1317363852309385218
33,1317363858718195714
34,1317363859225759744
35,1317363872626475009
36,1317363890607419392
37,1317363899621167105
38,1317363901340782594
39,1317363902368206848
40,1317363908773093376
41,1317363913072250881
42,1317363914942734337
43,1317363931925696522
44,1317363933854851073
45,1317363943178858496
46,1317363943376080897
47,1317363956164550658
48,1317363962007097345
49,1317363964536328194
50,1317363965630894080
51,1317363967770218496
52,1317363971201114113
53,1317363984878702592
54,1317363999177166848
55,1317363999772758016
56,1317364012368031745
57,1317364029401149441
58,1317364029585805313
59,1317364031435538452
60,1317364034073669632
61,1317364036674162688
62,1317364046195232768
63,1317364047730429957
64,1317364051391901704
65,1317364054415925249
66,1317364073323954177
67,1317364074070659077
68,1317364099148357633
69,1317364101119537153
70,1317364101597769729
71,1317364102361219073
72,1317364104336584704
73,1317364111089360897
74,1317364113174036481
75,1317364119511715840
76,1317364122493792256
77,1317364135760433157
78,1317364135726845953
79,1317364136464973824
80,1317364137517744129
81,1317364142144163840
82,1317364145134706688
83,1317364146195804161
84,1317364146678083584
85,1317364149459058688
86,1317364154685149184
87,1317364164805971969
88,1317364168366845953
89,1317364174842978304
90,1317364174976995330
91,1317364178794012672
92,1317364180484157442
93,1317364192530321415
94,1317364197043314694
95,1317364198280757249
96,1317364199371264001
97,1317364200893779969
98,1317364216974647296
99,1317364219457789952
100,1317364225992511488
101,1317364229394075650
102,1317364235526164480
103,1317364260888924160
104,1317364271802626048
105,1317364272775811072
106,1317364272960241666
107,1317364282942722048
108,1317364287036338176
109,1317364287468425217
110,1317364289259343872
111,1317364298377699332
112,1317364298927263744
113,1317364300294520832
114,1317364303528419328
115,1317364306485383168
116,1317364322960515072
117,1317364333106614272
118,1317364341281349632
119,1317364342787104768
120,1317364357131587584
121,1317364362307305473
122,1317364364085661696
