,id_str
0,1394084610812825608
1,1394084668866105345
2,1394084669608669185
3,1394084732665614336
4,1394084732829409283
5,1394084741037633537
6,1394084744812507140
7,1394084753092063235
8,1394084769294602242
9,1394084820574253058
10,1394084833014468609
11,1394084837661679621
12,1394084866732535811
13,1394084879185367047
14,1394084896541396993
15,1394084917508657154
16,1394084920587325442
17,1394085902511661058
18,1394085906777206786
19,1394085927497109507
20,1394085948896468998
21,1394085961370247168
22,1394085961051648006
23,1394085989937815552
24,1394085999488208899
25,1394086007507587072
26,1394086007549558784
27,1394086011664228356
28,1394086032405147649
29,1394086057684226048
30,1394086074931060736
31,1394086112021422082
32,1394086112323416065
33,1394086116651790340
34,1394086116941344768
35,1394086129259802629
36,1394086129364787207
37,1394086141947752450
38,1394086145806331906
39,1394086175468630021
40,1394086179486806016
41,1394086196284846082
42,1394086213066256384
43,1394087206999019527
44,1394087207221153800
45,1394087224090587140
46,1394087248073609225
47,1394087265710874629
48,1394087273986248706
49,1394087278444572673
50,1394087278813880324
51,1394087283117105153
52,1394087291094769667
53,1394087299328188421
54,1394087298841550849
55,1394087324573597699
56,1394087328621076483
57,1394087328721801218
58,1394087340361011201
59,1394087354126815236
60,1394087357905870848
61,1394087361508687876
62,1394087374775271426
63,1394087379212845061
64,1394087392076779528
65,1394087395608473601
66,1394087395914551302
67,1394087420694433797
68,1394087496288391169
69,1394087513585856516
70,1394087521810796545
71,1394087542970978304
72,1394087555151368193
73,1394087555419705345
74,1394087559265886208
75,1394087572121395200
76,1394087571714494466
77,1394087576277901314
78,1394087605340418049
79,1394087626584514561
80,1394087626760757254
81,1394087660000448514
82,1394087664249307138
83,1394087664417079299
84,1394087668473110533
85,1394087701943566341
86,1394087744234741763
87,1394087752543604737
88,1394087777625587712
89,1394087786068824069
90,1394087789612916740
91,1394087794016931840
92,1394087798408425473
93,1394087802036424713
94,1394087807145201679
95,1394087819488817159
96,1394087827856519169
97,1394087830763278345
98,1394087865626234883
99,1394087874463617029
100,1394087894768406528
101,1394087924354797570
102,1394087924149465093
103,1394087936623316992
104,1394087936652681219
105,1394087945469104131
106,1394087966448947207
107,1394087970647445507
108,1394087975042965505
109,1394087991564509188
110,1394088007792275457
111,1394088054466306051
112,1394088058786652162
113,1394088058685853697
114,1394088071298228229
115,1394088075320516608
116,1394088084057247744
