,id_str
0,1350593677563981827
1,1350593677761122309
2,1350593678180573186
3,1350593678247510017
4,1350593678331539466
5,1350593678490836994
6,1350593679489118211
7,1350593679581274113
8,1350593679824543744
9,1350593680353210373
10,1350593680340488194
11,1350593680483250176
12,1350593681032683521
13,1350593681057832962
14,1350593681171116032
15,1350593681384988672
16,1350593681326305282
17,1350593681238024192
18,1350593681506652160
19,1350593681217056768
20,1350593683469561856
21,1350593684333592581
22,1350593684455231491
23,1350593684887072771
24,1350593686921506821
25,1350593688913657856
26,1350593690029465602
27,1350593690381783047
28,1350593690616668162
29,1350593700779458560
30,1350593701144363017
31,1350593702809526274
32,1350593705217060866
33,1350593708819963907
34,1350593711114252295
35,1350593713064599557
36,1350593715518271490
37,1350593715828645894
38,1350593717997068291
39,1350593718093402112
40,1350593721432207368
41,1350593722837323777
42,1350593723676176386
43,1350593723902681090
44,1350593725160943621
45,1350593728189263883
46,1350593729573351425
47,1350593730022170626
48,1350593730428866560
49,1350593730827464705
50,1350593732446400516
51,1350593733453090818
52,1350593733541019649
53,1350593735256584195
54,1350593743112581124
55,1350593740537290752
56,1350593743452299266
57,1350593749282291712
58,1350593750884618241
59,1350593749693460490
60,1350593753661190147
61,1350593755527655424
62,1350593759243886595
63,1350593761106132993
64,1350593762146193409
65,1350593769201049600
66,1350593776251768832
67,1350593777304547331
68,1350593779582042117
69,1350593785940606977
70,1350593792211095557
71,1350593794929000448
72,1350593794958356481
73,1350593813249732608
74,1350593813589463040
75,1350593814847762434
76,1350593819637653506
77,1350593822242308097
78,1350593824133951490
79,1350593825903882245
80,1350593828827389961
81,1350593831083925507
82,1350593831134228480
83,1350593833638178818
84,1350593842236555269
85,1350593844820254720
86,1350593847810797570
87,1350593847961780230
88,1350593848548814850
89,1350593849203322880
90,1350593853208846344
91,1350593857680011264
92,1350593864898383872
93,1350593881851703298
94,1350593884884258816
95,1350593885026852865
96,1350593895852249089
97,1350593900302495744
98,1350593901204279299
99,1350593905633333248
100,1350593918811963397
101,1350593920334442496
102,1350593925539627013
103,1350593927406104577
104,1350593929381613569
105,1350593929524121600
106,1350593929482104832
107,1350593933953409026
108,1350593952601296897
109,1350593961220571138
110,1350593964907270144
111,1350593974650617857
112,1350593975413948416
113,1350593984003936256
114,1350593990576525315
115,1350593997589291009
116,1350594003851468804
117,1350594004514181127
118,1350594015725572096
119,1350594016010674176
120,1350594017302556679
121,1350594018514669568
122,1350594026102169600
123,1350594027754835972
124,1350594036764033025
125,1350594044477534209
126,1350594058767503364
127,1350594065830699014
128,1350594065948057600
129,1350594068888358920
130,1350594069156622336
131,1350594070276497408
132,1350594070574366720
133,1350594074324074496
134,1350594075897040900
135,1350594076958199808
136,1350594079629971460
137,1350594092045127687
138,1350594102874804228
139,1350594105559146501
140,1350594111947100160
141,1350594115629686788
142,1350594117437415424
143,1350594131081523202
144,1350594133732319238
145,1350594150723424259
146,1350594154074521600
147,1350594158168322050
148,1350594165399314435
149,1350594166141710338
150,1350594168704348160
151,1350594170004545536
152,1350594173339119616
153,1350594175453036544
154,1350594181098455042
155,1350594181195063296
156,1350594184420458496
157,1350594185649336321
158,1350594186756698113
159,1350594187620732931
160,1350594190854549506
161,1350594193563873281
162,1350594194679672835
163,1350594197661880323
164,1350594197888397318
165,1350594197548462084
166,1350594198366466048
167,1350594198676926464
168,1350594215068184583
169,1350594223133908997
170,1350594232344588290
171,1350594240540131329
172,1350594241152634880
173,1350594246290583553
174,1350594248685584385
175,1350594250933678080
176,1350594253509058564
177,1350594254117212166
178,1350594255555850240
179,1350594262153379841
180,1350594265945145346
181,1350594272861544448
182,1350594272790257666
183,1350594316536725504
184,1350594319179280385
185,1350594327987294209
186,1350594334710587392
187,1350594341270646784
188,1350594347910135809
189,1350594355854245890
190,1350594371758993408
191,1350594381389115394
192,1350594384769773568
193,1350594385210179585
194,1350594385356988423
195,1350594387357691909
196,1350594388230025218
197,1350594400473272320
198,1350594406483562503
199,1350594412175368192
200,1350594412586426368
201,1350594416512217089
202,1350594428302479362
203,1350594430932307969
204,1350594432865771521
205,1350594432731553792
206,1350594452059021313
207,1350594452616851466
208,1350594467904929792
209,1350594474179760130
210,1350594479569432587
211,1350594496547864580
212,1350594503900606464
213,1350594504546545664
214,1350594506643697670
215,1350594513190998019
216,1350594524461068291
217,1350594534619582467
218,1350594537991901188
219,1350594539493486594
220,1350594540818870272
221,1350594562616487938
222,1350594569079980034
223,1350594570900410368
224,1350594571596513282
225,1350594571822981122
226,1350594572171190274
227,1350594574675275776
228,1350594585009872896
229,1350594588587814915
230,1350594590802403329
231,1350594591951638529
232,1350594598775582720
233,1350594600751214594
234,1350594600692539393
235,1350594601602715650
236,1350594608904990721
237,1350594611660652544
238,1350594614198153226
239,1350594622867705857
240,1350594630727987200
241,1350594633529757701
242,1350594634104377346
243,1350594648817999877
244,1350594649161920513
245,1350594649598124033
246,1350594665234497539
247,1350594670074748936
248,1350594670837993474
249,1350594695764783111
250,1350594697182531594
251,1350594715368886274
252,1350594720905490433
253,1350594722927022080
254,1350594726580219904
255,1350594737678528513
256,1350594757681176577
257,1350594763922284552
258,1350594772264644610
259,1350594775112536064
