,id_str
0,1423796028118118400
1,1423796027526635526
2,1423796028201914375
3,1423796028424155137
4,1423796032337494026
5,1423796032521990144
6,1423796031783907331
7,1423796031993507843
8,1423796032194846722
9,1423796036779266056
10,1423796036796092421
11,1423796036074680325
12,1423796041220968449
13,1423796053313269760
14,1423796053220941824
15,1423796057998307329
16,1423796061806735374
17,1423796065774489600
18,1423796070295945218
19,1423796070744690691
20,1423796074754592778
21,1423796079087263747
22,1423796082627293186
23,1423796082992111625
24,1423796083226931204
25,1423796095931592712
26,1423796096023867392
27,1423796103275765761
28,1423796104123097089
29,1423796112226328577
30,1423796112465465346
31,1423796124884799490
32,1423796133466279939
33,1423796145017561098
34,1423796153875898371
35,1423796162772054018
36,1423796167188652034
37,1423796175774261253
38,1423796182581760011
39,1423796183881773057
40,1423796183856726016
41,1423796188210421763
42,1423796196443832326
43,1423796199761534981
44,1423796200415928325
45,1423796200562741259
46,1423796200860528654
47,1423796217390174226
48,1423796221613838339
49,1423796230296150017
50,1423796233999687680
51,1423796242711126019
52,1423796259534491651
53,1423796280338391044
54,1423796284557729793
55,1423796296993869824
56,1423796304631812099
57,1423796305487306754
58,1423796309618724866
59,1423796313443950593
60,1423796318196076546
61,1423796325813006336
62,1423796334797197313
63,1423796347489067008
64,1423796351826026505
65,1423796368292913160
66,1423796372776656909
67,1423796398017888260
68,1423796401717145603
69,1423796402157543427
70,1423796406356111363
71,1423796414191124487
72,1423796414203768836
73,1423796418750210050
74,1423796426761461765
75,1423796431219920900
76,1423796443442081792
77,1423796448114606080
78,1423796456322863107
79,1423796456578818051
80,1423797562398679049
81,1423797584494096386
82,1423797588629757959
83,1423797593029505028
84,1423797605637574656
85,1423797618086268931
86,1423797622381309954
87,1423797627100016640
88,1423797639347281924
89,1423797643122147335
90,1423797647245291524
91,1423797651909263365
92,1423797655755530246
93,1423797656355184642
94,1423797660545343488
95,1423797660545208325
96,1423797668799676417
97,1423797676668162049
98,1423797681093185542
